code;name;sector
WEGE3;WEG;Maquinas e Equipamentos
EMBR3;EMBRAER;Maquinas e Equipamentos
AZUL4;AZUL;Transporte
CCRO3;CCR SA;Transporte
ECOR3;ECORODOVIAS;Transporte
GOLL4;GOL;Transporte
RAIL3;RUMO S.A.;Transporte
BRFS3;BRF SA;Frigorifico
JBSS3;JBS;Frigorifico
MRFG3;MARFRIG;Frigorifico
BEEF3;MINERVA;Frigorifico
ABEV3;AMBEV S/A;Varejo
CRFB3;CARREFOUR BR;Varejo
PCAR3;P.ACUCAR-CBD;Varejo
NTCO3;GRUPO NATURA;Varejo
BTOW3;B2W DIGITAL;Varejo
LAME4;LOJAS AMERIC;Varejo
LREN3;LOJAS RENNER;Varejo
MGLU3;MAGAZ LUIZA;Varejo
VVAR3;VIAVAREJO;Varejo
HGTX3;CIA HERING;Varejo
CYRE3;CYRELA REALT;Construção Civil
EZTC3;EZTEC;Construção Civil
MRVE3;MRV;Construção Civil
CVCB3;CVC BRASIL;Viagens
COGN3;COGNA ON;Outros
RENT3;LOCALIZA;Outros
YDUQ3;YDUQS PART;Outros
BRML3;BR MALLS PAR;Financeiro
IGTA3;IGUATEMI;Financeiro
MULT3;MULTIPLAN;Financeiro
BBDC3;BRADESCO;Financeiro
BBDC4;BRADESCO;Financeiro
BBAS3;BRASIL;Financeiro
BPAC11;BTGP BANCO;Financeiro
ITSA4;ITAUSA;Financeiro
ITUB4;ITAUUNIBANCO;Financeiro
SANB11;SANTANDER BR;Financeiro
BBSE3;BBSEGURIDADE;Financeiro
IRBR3;IRBBRASIL RE;Financeiro
SULA11;SUL AMERICA;Financeiro
B3SA3;B3;Financeiro
CIEL3;CIELO;Financeiro
KLBN11;KLABIN S/A;Extração
SUZB3;SUZANO S.A.;Extração
BRAP4;BRADESPAR;Extração
VALE3;VALE;Extração
BRKM5;BRASKEM;Químico
GGBR4;GERDAU;Siderurgia/Metalurgia
GOAU4;GERDAU MET;Siderurgia/Metalurgia
CSNA3;SID NACIONAL;Siderurgia/Metalurgia
USIM5;USIMINAS;Siderurgia/Metalurgia
CSAN3;COSAN;Energia
PETR3;PETROBRAS;Energia
PETR4;PETROBRAS;Energia
BRDT3;PETROBRAS BR;Energia
PRIO3;PETRORIO;Energia
UGPA3;ULTRAPAR;Energia
HYPE3;HYPERA;Saude
RADL3;RAIADROGASIL;Saude
FLRY3;FLEURY;Saude
HAPV3;HAPVIDA;Saude
GNDI3;INTERMEDICA;Saude
QUAL3;QUALICORP;Saude
TOTS3;TOTVS;Tecnologia
VIVT3;TELEF BRASIL;Telecomunicação
TIMS3;TIM;Telecomunicação
SBSP3;SABESP;Saneamento
CMIG4;CEMIG;Energia Elétrica
CPFE3;CPFL ENERGIA;Energia Elétrica
ELET3;ELETROBRAS;Energia Elétrica
ELET6;ELETROBRAS;Energia Elétrica
ENBR3;ENERGIAS BR;Energia Elétrica
ENGI11;ENERGISA;Energia Elétrica
EGIE3;ENGIE BRASIL;Energia Elétrica
EQTL3;EQUATORIAL;Energia Elétrica
TAEE11;TAESA;Energia Elétrica
